"Gene_Order"	"Gene_EntrezID"	"N_HitLists"	"DE_Prior_Rank"	"Gene_Name"
"423"	22834	20	0.977962653870227	"ZNF652"
"424"	9023	38	0.977962653870227	"CH25H"
"425"	928	57	0.977884414771542	"CD9"
"426"	64231	58	0.977832255372418	"MS4A6A"
"427"	5788	58	0.977754016273732	"PTPRC"
"428"	3383	60	0.977754016273732	"ICAM1"
"429"	55026	45	0.977675777175047	"TMEM255A"
"430"	199675	39	0.977623617775923	"MCEMP1"
"431"	11098	69	0.977571458376799	"PRSS23"
"432"	894	65	0.977519298977676	"CCND2"
"433"	9966	45	0.977467139578552	"TNFSF15"
"434"	8743	66	0.977414980179428	"TNFSF10"
"435"	8519	65	0.977336741080743	"IFITM1"
"436"	5274	56	0.977336741080743	"SERPINI1"
"437"	563	45	0.977258501982057	"AZGP1"
"438"	771	74	0.977206342582933	"CA12"
"439"	2296	47	0.97715418318381	"FOXC1"
"440"	6318	34	0.977102023784686	"SERPINB4"
"441"	10894	47	0.977023784686	"LYVE1"
"442"	6781	46	0.977023784686	"STC1"
"443"	1956	64	0.976919465887753	"EGFR"
"444"	931	46	0.976919465887753	"MS4A1"
"445"	5744	40	0.976841226789067	"PTHLH"
"446"	2202	73	0.976789067389944	"EFEMP1"
"447"	55638	43	0.97673690799082	"SYBU"
"448"	4494	36	0.976658668892134	"MT1F"
"449"	4147	52	0.976658668892134	"MATN2"
"450"	7305	44	0.976580429793449	"TYROBP"
"451"	6440	18	0.976528270394325	"SFTPC"
"452"	55959	62	0.976476110995201	"SULF2"
"453"	83604	59	0.976423951596078	"TMEM47"
"454"	3604	34	0.976371792196954	"TNFRSF9"
"455"	92737	45	0.976293553098268	"DNER"
"456"	80183	53	0.976293553098268	"RUBCNL"
"457"	91624	59	0.976189234300021	"NEXN"
"458"	4257	68	0.976189234300021	"MGST1"
"459"	54845	63	0.976110995201335	"ESRP1"
"460"	2635	61	0.976058835802212	"GBP3"
"461"	2824	73	0.976006676403088	"GPM6B"
"462"	3855	61	0.975954517003964	"KRT7"
"463"	155038	48	0.975850198205717	"GIMAP8"
"464"	10154	50	0.975850198205717	"PLXNC1"
"465"	7832	39	0.975850198205717	"BTG2"
"466"	51339	48	0.975719799707907	"DACT1"
"467"	1728	53	0.975719799707907	"NQO1"
"468"	10085	65	0.975641560609222	"EDIL3"
"469"	3490	69	0.975589401210098	"IGFBP7"
"470"	6424	38	0.975511162111412	"SFRP4"
"471"	1114	41	0.975511162111412	"CHGB"
"472"	5067	53	0.975432923012727	"CNTN3"
"473"	64919	55	0.975380763613603	"BCL11B"
